1970 1 1  G1  3.74
1970 1 1  G2  0.21
1970 1 1  G4  0.15
1970 1 1  G5  1.21
1970 1 1  G6  1.34
1970 1 2  G1  1.99
1970 1 2  G3  1.63
1970 1 2  G4  4.98
1970 1 2  G5  3.68
1970 1 2  G6  0.00
1970 1 3  G1  0.00
1970 1 3  G4  0.59
1970 1 3  G5  0.00
1970 1 3  G6  0.22
1970 1 4  G1  0.00
1970 1 4  G2  0.00
1970 1 4  G4  0.00
1970 1 4  G5  0.00
1970 1 4  G6  0.00
1970 1 5  G1  0.05
1970 1 5  G2  0.25
1970 1 5  G3  0.05
1970 1 5  G5  0.05
1970 1 6  G1  0.21
1970 1 6  G2  0.38
1970 1 6  G3  1.47
1970 1 6  G4  0.44
1970 1 6  G5  0.30
1970 1 6  G6  2.25
1970 1 7  G1  3.85
1970 1 7  G2  0.00
1970 1 7  G4  0.00
1970 1 7  G5  0.00
1970 1 7  G6  0.00
1970 1 8  G2  0.00
1970 1 8  G3  0.00
1970 1 8  G4  0.00
1970 1 8  G5  0.00
1970 1 8  G6  0.00
1970 1 9  G1  0.73
1970 1 9  G2  0.28
1970 1 9  G3  0.34
1970 1 9  G6  0.19
1970 110  G3  0.00
1970 110  G4  0.00
1970 110  G5  0.00
1970 110  G6  0.00
1970 111  G1  0.91
1970 111  G2  0.95
1970 111  G3  0.26
1970 111  G4  1.58
1970 111  G5  0.66
1970 111  G6  0.76
1970 112  G1  7.40
1970 112  G2  3.27
1970 112  G3  0.41
1970 112  G4  3.07
1970 112  G5  0.59
1970 112  G6  0.27
1970 113  G1  0.00
1970 113  G2  0.00
1970 113  G3  0.00
1970 113  G4  0.00
1970 113  G5  0.00
1970 113  G6  0.00
1970 114  G1  0.00
1970 114  G2  0.00
1970 114  G3  0.00
1970 114  G5  0.00
1970 114  G6  0.00
1970 115  G1  0.00
1970 115  G2  0.00
1970 115  G3  0.00
1970 115  G4  0.00
1970 115  G5  0.00
1970 115  G6  0.00
1970 116  G1  0.00
1970 116  G2  0.00
1970 116  G3  0.00
1970 116  G4  0.00
1970 116  G6  0.00
1970 117  G1  0.00
1970 117  G2  0.00
1970 117  G4  0.00
1970 117  G5  0.00
1970 117  G6  0.84
1970 118  G1  0.00
1970 118  G2  0.00
1970 118  G3  0.00
1970 118  G4  0.00
1970 118  G5  0.00
1970 118  G6  1.95
1970 119  G1  0.00
1970 119  G2  0.00
1970 119  G3  0.00
1970 119  G4  0.00
1970 120  G1  0.00
1970 120  G2  0.05
1970 120  G3  0.00
1970 120  G5  0.00
1970 120  G6  0.51
1970 121  G1  4.29
